gene,mean_effect,median_effect,n_samples_positive,n_samples_negative
STAB1,2.7146928,2.7079163,6,0
C1QA,0.8467968,1.0185187,6,0
DAB2,0.7504056,0.8072453,6,0
MSR1,0.70253277,0.6675581,6,0
TYMP,0.5557253,0.65806144,6,0
AP1B1,0.6629613,0.64712083,6,0
PLTP,0.5989334,0.63054484,6,0
RNF213,0.5947709,0.6192485,6,0
SLCO2B1,0.5946449,0.60348356,6,0
LRP1,0.76098347,0.5464846,6,0
ANKH,0.58560973,0.5321921,6,0
CAPZB,0.5665311,0.53185964,6,0
VSIG4,0.59505945,0.5262003,6,0
CTNNA1,0.5358487,0.52228403,6,0
ARHGAP4,0.72662807,0.51248723,6,0
ASPH,0.4138645,0.4888953,6,0
RHOB,0.43050328,0.4872469,6,0
GIT2,0.418398,0.47851136,6,0
MSN,0.4400243,0.47572318,6,0
KCTD12,0.6698856,0.4551641,6,0
LGALS9,0.45403185,0.4503227,6,0
DAPK1,0.48156783,0.43401247,6,0
ARHGAP21,0.5458991,0.41981286,6,0
LPAR6,0.4580442,0.41890705,6,0
TTYH3,0.45020732,0.4014793,6,0
ANXA5,0.5230164,0.39784276,6,0
ACTR2,0.5324643,0.39705995,6,0
RB1,0.4888935,0.39090058,6,0
EEF2,0.44552794,0.38104886,6,0
ARHGAP18,0.4038997,0.37599653,6,0
DNM1L,0.27906656,0.37523466,6,0
CLTC,0.38211074,0.37495142,6,0
HSP90B1,0.3430035,0.37333596,6,0
PLXND1,0.339821,0.36835054,6,0
STAT2,0.3979005,0.36650103,6,0
DDX17,0.369639,0.36481437,6,0
FRMD4A,0.37191132,0.36301026,6,0
SIPA1,0.38922143,0.3623492,6,0
F13A1,0.35274136,0.36171567,6,0
CLSTN1,0.33050504,0.36065808,6,0
CAPZA2,0.35025406,0.35726857,6,0
PPP1CB,0.28790265,0.3467056,6,0
MS4A6A,0.4861137,0.34580058,6,0
WDR91,0.3183113,0.34537673,6,0
ETS2,0.43084383,0.34500784,6,0
CD53,0.43311235,0.34433767,6,0
DST,0.3779463,0.34181225,6,0
CTSZ,0.33338585,0.33852953,6,0
NCKAP1L,0.380347,0.33467114,6,0
CTSB,0.5426947,0.33382106,6,0
GNAI2,0.5985257,0.33261162,6,0
CAB39,0.30414173,0.33211768,6,0
FMNL2,0.36849436,0.32421792,6,0
PDGFB,0.28226537,0.3194309,6,0
TMC8,0.3697232,0.3190745,6,0
SFPQ,0.38126302,0.3171417,6,0
FPR3,0.3364408,0.3162743,6,0
GYPC,0.5172827,0.31389248,6,0
DNM2,0.26949218,0.3120447,6,0
USP53,0.33472714,0.3111195,6,0
